TNAME	SUBKINGDOM	INFRAKINGDOM	SUPERPHYLUM	PHYLUM	SUBPHYLUM	INFRAPHYLUM	SUPERCLASS	CLASS	SUBCLASS	INFRACLASS	SUPERORDER	ORDER	SUBORDER	INFRAORDER	SUPERFAMILY	FAMILY	SUBFAMILY	TRIBE	SUBTRIBE	GENUS	SPECIES	NUMOCC	otufin	otufin2
ORIBATIDA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	SARCOPTIFORMES	ORIBATIDA	NA	NA	NA	NA	NA	NA	NA	NA	21	ORIBATIDA	ORIBATIDA
ARRENURUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	ARRENUROIDEA	ARRENURIDAE	NA	NA	NA	ARRENURUS	NA	3	ARRENURUS	ARRENURUS
MIDEOPSIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	ARRENUROIDEA	MIDEOPSIDAE	NA	NA	NA	MIDEOPSIS	NA	1	MIDEOPSIS	MIDEOPSIS
LIMNOCHARIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	EYLAOIDEA	LIMNOCHARIDAE	NA	NA	NA	NA	NA	16	LIMNOCHARIDAE	LIMNOCHARIDAE
HYDRACHNA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYDRACHNOIDEA	HYDRACHNIDAE	NA	NA	NA	HYDRACHNA	NA	1	HYDRACHNA	HYDRACHNA
HYDRODROMA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYDRYPHANTOIDEA	HYDRODROMIDAE	NA	NA	NA	HYDRODROMA	NA	5	HYDRODROMA	HYDRODROMA
HYDRYPHANTIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYDRYPHANTOIDEA	HYDRYPHANTIDAE	NA	NA	NA	NA	NA	27	HYDRYPHANTIDAE	HYDRYPHANTIDAE
ATRACTIDES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	HYGROBATIDAE	NA	NA	NA	ATRACTIDES	NA	3	ATRACTIDES	ATRACTIDES
HYGROBATES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	HYGROBATIDAE	NA	NA	NA	HYGROBATES	NA	43	HYGROBATES	HYGROBATES
LIMNESIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	LIMNESIIDAE	NA	NA	NA	LIMNESIA	NA	7	LIMNESIA	LIMNESIA
NAJADICOLA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	PIONIDAE	NA	NA	NA	NAJADICOLA	NA	1	NAJADICOLA	NAJADICOLA
NEUMANIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	UNIONICOLIDAE	NA	NA	NA	NEUMANIA	NA	4	NEUMANIA	NEUMANIA
UNIONICOLA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	HYGROBATOIDEA	UNIONICOLIDAE	NA	NA	NA	UNIONICOLA	NA	6	UNIONICOLA	UNIONICOLA
BANDAKIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	ANISITSIELLIDAE	NA	NA	NA	BANDAKIA	NA	1	BANDAKIA	BANDAKIA
LEBERTIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	LEBERTIIDAE	NA	NA	NA	LEBERTIA	NA	78	LEBERTIA	LEBERTIA
SPERCHON	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	SPERCHONTIDAE	NA	NA	NA	SPERCHON	NA	136	SPERCHON	SPERCHON
SPERCHONOPSIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	SPERCHONTIDAE	NA	NA	NA	SPERCHONOPSIS	NA	2	SPERCHONOPSIS	SPERCHONOPSIS
TORRENTICOLA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CHELICERATA	NA	NA	ARACHNIDA	ACARI	NA	ACARIFORMES	TROMBIDIFORMES	PROSTIGMATA	NA	LEBERTIOIDEA	TORRENTICOLIDAE	NA	NA	NA	TORRENTICOLA	NA	10	TORRENTICOLA	TORRENTICOLA
CAMBARUS.BARTONII	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	EUCARIDA	DECAPODA	PLEOCYEMATA	ASTACIDEA	ASTACOIDEA	CAMBARIDAE	CAMBARINAE	NA	NA	CAMBARUS	CAMBARUS.BARTONII	37	CAMBARUS.BARTONII	CAMBARUS.BARTONII
ORCONECTES.IMMUNIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	EUCARIDA	DECAPODA	PLEOCYEMATA	ASTACIDEA	ASTACOIDEA	CAMBARIDAE	CAMBARINAE	NA	NA	ORCONECTES	ORCONECTES.IMMUNIS	6	ORCONECTES.IMMUNIS	ORCONECTES.IMMUNIS
ORCONECTES.LIMOSUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	EUCARIDA	DECAPODA	PLEOCYEMATA	ASTACIDEA	ASTACOIDEA	CAMBARIDAE	CAMBARINAE	NA	NA	ORCONECTES	ORCONECTES.LIMOSUS	2	ORCONECTES.LIMOSUS	ORCONECTES.LIMOSUS
ORCONECTES.OBSCURUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	EUCARIDA	DECAPODA	PLEOCYEMATA	ASTACIDEA	ASTACOIDEA	CAMBARIDAE	CAMBARINAE	NA	NA	ORCONECTES	ORCONECTES.OBSCURUS	2	ORCONECTES.OBSCURUS	ORCONECTES.OBSCURUS
ORCONECTES.PROPINQUUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	EUCARIDA	DECAPODA	PLEOCYEMATA	ASTACIDEA	ASTACOIDEA	CAMBARIDAE	CAMBARINAE	NA	NA	ORCONECTES	ORCONECTES.PROPINQUUS	57	ORCONECTES.PROPINQUUS	ORCONECTES.PROPINQUUS
ORCONECTES.RUSTICUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	EUCARIDA	DECAPODA	PLEOCYEMATA	ASTACIDEA	ASTACOIDEA	CAMBARIDAE	CAMBARINAE	NA	NA	ORCONECTES	ORCONECTES.RUSTICUS	18	ORCONECTES.RUSTICUS	ORCONECTES.RUSTICUS
ORCONECTES.VIRILIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	EUCARIDA	DECAPODA	PLEOCYEMATA	ASTACIDEA	ASTACOIDEA	CAMBARIDAE	CAMBARINAE	NA	NA	ORCONECTES	ORCONECTES.VIRILIS	106	ORCONECTES.VIRILIS	ORCONECTES.VIRILIS
ORCONECTES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	EUCARIDA	DECAPODA	PLEOCYEMATA	ASTACIDEA	ASTACOIDEA	CAMBARIDAE	CAMBARINAE	NA	NA	ORCONECTES	NA	16	ORCONECTES	NA
CRANGONYX	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	PERACARIDA	AMPHIPODA	GAMMARIDEA	NA	NA	CRANGONYCTIDAE	NA	NA	NA	CRANGONYX	NA	9	CRANGONYX	CRANGONYX
GAMMARUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	PERACARIDA	AMPHIPODA	GAMMARIDEA	NA	NA	GAMMARIDAE	NA	NA	NA	GAMMARUS	NA	54	GAMMARUS	GAMMARUS
HYALELLA.AZTECA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	PERACARIDA	AMPHIPODA	GAMMARIDEA	NA	NA	HYALELLIDAE	NA	NA	NA	HYALELLA	HYALELLA.AZTECA	102	HYALELLA.AZTECA	HYALELLA.AZTECA
CAECIDOTEA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	CRUSTACEA	NA	NA	MALACOSTRACA	EUMALACOSTRACA	NA	PERACARIDA	ISOPODA	ASELLOTA	NA	ASELLOIDEA	ASELLIDAE	NA	NA	NA	CAECIDOTEA	NA	58	CAECIDOTEA	CAECIDOTEA
AGABUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	AGABINAE	AGABINI	NA	AGABUS	NA	22	AGABUS	AGABUS
ILYBIUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	AGABINAE	AGABINI	NA	ILYBIUS	NA	7	ILYBIUS	ILYBIUS
COLYMBETES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	COLYMBETINAE	COLYMBETINI	NA	COLYMBETES	NA	2	COLYMBETES	COLYMBETES
COPTOTOMUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	COPTOTOMINAE	COPTOTOMINI	NA	COPTOTOMUS	NA	6	COPTOTOMUS	COPTOTOMUS
ACILIUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	DYTISCINAE	ACILIINI	NA	ACILIUS	NA	1	ACILIUS	ACILIUS
LIODESSUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	BIDESSINI	NA	LIODESSUS	NA	26	LIODESSUS	LIODESSUS
UVARUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	BIDESSINI	NA	UVARUS	NA	2	UVARUS	UVARUS
HETEROSTERNUTA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	HYDROPORINI	NA	HETEROSTERNUTA	NA	3	HETEROSTERNUTA	HETEROSTERNUTA
HYDROPORUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	HYDROPORINI	NA	HYDROPORUS	NA	3	HYDROPORUS	HYDROPORUS
LIOPOREUS.TRIANGULARIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	HYDROPORINI	NA	LIOPOREUS	LIOPOREUS.TRIANGULARIS	1	LIOPOREUS.TRIANGULARIS	LIOPOREUS.TRIANGULARIS
NEBRIOPORUS.ROTUNDATUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	HYDROPORINI	NA	NEBRIOPORUS	NEBRIOPORUS.ROTUNDATUS	1	NEBRIOPORUS.ROTUNDATUS	NEBRIOPORUS.ROTUNDATUS
NEOPORUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	HYDROPORINI	NA	NEOPORUS	NA	17	NEOPORUS	NEOPORUS
OREODYTES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	HYDROPORINI	NA	OREODYTES	NA	10	OREODYTES	OREODYTES
HYGROTUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	HYGROTINI	NA	HYGROTUS	NA	6	HYGROTUS	HYGROTUS
DESMOPACHRIA.CONVEXA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	HYDROPORINAE	HYPHYDRINI	NA	DESMOPACHRIA	DESMOPACHRIA.CONVEXA	1	DESMOPACHRIA.CONVEXA	DESMOPACHRIA.CONVEXA
LACCOPHILUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	LACCOPHILINAE	LACCOPHILINI	NA	LACCOPHILUS	NA	22	LACCOPHILUS	LACCOPHILUS
DYTISCIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	DYTISCIDAE	NA	NA	NA	NA	NA	19	DYTISCIDAE	NA
DINEUTUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	GYRINIDAE	NA	NA	NA	DINEUTUS	NA	2	DINEUTUS	DINEUTUS
GYRINUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	GYRINIDAE	NA	NA	NA	GYRINUS	NA	28	GYRINUS	GYRINUS
HALIPLUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	HALIPLIDAE	NA	NA	NA	HALIPLUS	NA	18	HALIPLUS	HALIPLUS
PELTODYTES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	HALIPLIDAE	NA	NA	NA	PELTODYTES	NA	25	PELTODYTES	PELTODYTES
HALIPLIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	ADEPHAGA	NA	NA	HALIPLIDAE	NA	NA	NA	NA	NA	1	HALIPLIDAE	NA
CHRYSOMELIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	CUCUJIFORMIA	CHRYSOMELOIDEA	CHRYSOMELIDAE	NA	NA	NA	NA	NA	6	CHRYSOMELIDAE	CHRYSOMELIDAE
CURCULIONIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	CUCUJIFORMIA	CURCULIONOIDEA	CURCULIONIDAE	NA	NA	NA	NA	NA	60	CURCULIONIDAE	CURCULIONIDAE
HELICHUS.BASALIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	DRYOPIDAE	NA	NA	NA	HELICHUS	HELICHUS.BASALIS	31	HELICHUS.BASALIS	HELICHUS.BASALIS
HELICHUS.FASTIGIATUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	DRYOPIDAE	NA	NA	NA	HELICHUS	HELICHUS.FASTIGIATUS	6	HELICHUS.FASTIGIATUS	HELICHUS.FASTIGIATUS
HELICHUS.STRIATUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	DRYOPIDAE	NA	NA	NA	HELICHUS	HELICHUS.STRIATUS	50	HELICHUS.STRIATUS	HELICHUS.STRIATUS
HELICHUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	DRYOPIDAE	NA	NA	NA	HELICHUS	NA	79	HELICHUS	NA
ANCYRONYX	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	ANCYRONYX	NA	7	ANCYRONYX	ANCYRONYX
DUBIRAPHIA.BIVITTATA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	DUBIRAPHIA	DUBIRAPHIA.BIVITTATA	7	DUBIRAPHIA.BIVITTATA	DUBIRAPHIA.BIVITTATA
DUBIRAPHIA.MINIMA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	DUBIRAPHIA	DUBIRAPHIA.MINIMA	31	DUBIRAPHIA.MINIMA	DUBIRAPHIA.MINIMA
DUBIRAPHIA.QUADRINOTATA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	DUBIRAPHIA	DUBIRAPHIA.QUADRINOTATA	104	DUBIRAPHIA.QUADRINOTATA	DUBIRAPHIA.QUADRINOTATA
DUBIRAPHIA.VITTATA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	DUBIRAPHIA	DUBIRAPHIA.VITTATA	3	DUBIRAPHIA.VITTATA	DUBIRAPHIA.VITTATA
DUBIRAPHIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	DUBIRAPHIA	NA	135	DUBIRAPHIA	NA
MACRONYCHUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	MACRONYCHUS	NA	116	MACRONYCHUS	MACRONYCHUS
MICROCYLLOEPUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	MICROCYLLOEPUS	NA	15	MICROCYLLOEPUS	MICROCYLLOEPUS
OPTIOSERVUS.ELEGANS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	OPTIOSERVUS	OPTIOSERVUS.ELEGANS	83	OPTIOSERVUS.ELEGANS	OPTIOSERVUS.ELEGANS
OPTIOSERVUS.FASTIDITUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	OPTIOSERVUS	OPTIOSERVUS.FASTIDITUS	13	OPTIOSERVUS.FASTIDITUS	OPTIOSERVUS.FASTIDITUS
OPTIOSERVUS.OVALIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	OPTIOSERVUS	OPTIOSERVUS.OVALIS	630	OPTIOSERVUS.OVALIS	OPTIOSERVUS.OVALIS
OPTIOSERVUS.TARDELLUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	OPTIOSERVUS	OPTIOSERVUS.TARDELLUS	601	OPTIOSERVUS.TARDELLUS	OPTIOSERVUS.TARDELLUS
OPTIOSERVUS.TRIVITTATUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	OPTIOSERVUS	OPTIOSERVUS.TRIVITTATUS	363	OPTIOSERVUS.TRIVITTATUS	OPTIOSERVUS.TRIVITTATUS
OPTIOSERVUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	NEOPTERA	HOLOMETABOLA	COLEOPTERA	POLYPHAGA	ELATERIFORMIA	BYRRHOIDEA	ELMIDAE	NA	NA	NA	OPTIOSERVUS	NA	829	OPTIOSERVUS	NA
